accession,species,strain,assembly_level,n_protein,dltA,dltE,dltE_len,dltE_score,dltE_s90,dltE_s110,dltE_s130,mprF_long,mprF_short,localization
GCF_040250195.1,Pediococcus acidilactici,PA_ZFRFD,Complete Genome,1929,1,1,382,174.0,1,1,1,0,1,B_SP
GCF_050967595.1,Limosilactobacillus reuteri,CHF7-2,Complete Genome,1911,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_040027695.1,Lactococcus lactis,BIM B-1834,Complete Genome,2390,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_965814455.1,Levilactobacillus brevis,VUB-6DM1,Complete Genome,2567,1,1,392,272.9,1,1,1,1,1,B_SP
GCF_026683895.1,Bifidobacterium animalis subsp. lactis,BP026,Complete Genome,1532,0,0,,,0,0,0,0,0,E_no_dlt
GCF_016126975.1,Pediococcus pentosaceus,FDAARGOS_1011,Complete Genome,1717,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_982235735.1,Latilactobacillus curvatus,-,Contig,1864,1,1,382,196.9,1,1,1,1,1,C_CYTO
GCF_023206755.1,Lactococcus lactis,KF140,Complete Genome,2370,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_900109445.1,Limosilactobacillus mucosae,KHPC15,Scaffold,1757,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_021432165.1,Bifidobacterium longum,T1,Complete Genome,1903,0,0,,,0,0,0,0,0,E_no_dlt
GCF_049532925.1,Pediococcus pentosaceus,Q6,Complete Genome,1708,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_007954765.1,Lactococcus lactis,CBA3619,Complete Genome,2380,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_046523885.1,Ligilactobacillus salivarius,TCI153,Complete Genome,1864,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_049942715.1,Latilactobacillus sakei,KU15041,Complete Genome,1892,1,1,383,176.0,1,1,1,1,1,B_SP
GCF_060346175.1,Bifidobacterium longum,310,Complete Genome,1962,0,0,,,0,0,0,0,0,E_no_dlt
GCF_054850525.1,Limosilactobacillus reuteri,WLRE03,Complete Genome,1921,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_054962265.1,Leuconostoc mesenteroides,XM27,Complete Genome,1890,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_026168595.1,Ligilactobacillus animalis,-,Contig,1701,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_004063635.1,Limosilactobacillus fermentum,SRCM 103290,Complete Genome,1880,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_032190815.1,Latilactobacillus curvatus,3.8.43,Contig,1977,1,1,392,199.6,1,1,1,1,1,B_SP
GCF_033814055.1,Enterococcus faecalis,ES-108-1,Complete Genome,3114,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_018991475.1,Leuconostoc citreum,3.8.12,Contig,1870,1,1,378,152.2,1,1,1,1,1,A_TM
GCF_024800685.1,Levilactobacillus brevis,PL102,Complete Genome,2391,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_027594765.1,Lactococcus lactis,VHProbi V60,Complete Genome,2419,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_016406465.1,Enterococcus faecium,Dallas 51_4,Complete Genome,2968,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_044740695.1,Lacticaseibacillus paracasei,E11.5,Complete Genome,2825,1,1,385,191.2,1,1,1,1,1,A_TM
GCF_051257785.1,Levilactobacillus brevis,L010,Complete Genome,2418,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_035200785.1,Limosilactobacillus reuteri,C501,Complete Genome,1896,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_052402805.1,Pediococcus pentosaceus,13_7_13A_2,Complete Genome,1686,1,1,367,150.6,1,1,1,0,1,B_SP
GCF_052071195.1,Latilactobacillus sakei,DX3003,Complete Genome,1935,1,1,383,176.0,1,1,1,1,1,B_SP
GCF_012273035.1,Limosilactobacillus fermentum,HFD1,Complete Genome,1902,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_035209715.1,Pediococcus pentosaceus,SM2D17,Complete Genome,1756,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_053714395.1,Bifidobacterium longum,DPUB-15,Complete Genome,1842,0,0,,,0,0,0,0,0,E_no_dlt
GCF_036778635.1,Ligilactobacillus animalis,-,Scaffold,1681,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_056270405.1,Limosilactobacillus fermentum,LF160,Complete Genome,1933,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_034705275.1,Pediococcus acidilactici,IAF6519,Complete Genome,1831,1,1,382,174.0,1,1,1,0,1,B_SP
GCF_050847325.1,Limosilactobacillus fermentum,NSB2,Complete Genome,1945,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_049630025.1,Leuconostoc citreum,5-1,Contig,1712,1,1,378,154.9,1,1,1,1,1,A_TM
GCF_006228245.1,Levilactobacillus brevis,UCCLB556,Complete Genome,2377,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_029581635.1,Latilactobacillus curvatus,TMW 1.2272,Contig,1945,1,1,382,199.6,1,1,1,1,1,C_CYTO
GCF_038721235.1,Lactococcus lactis,Q13,Complete Genome,2415,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_026073415.1,Enterococcus faecium,JHP80,Complete Genome,2742,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_050916265.1,Pediococcus pentosaceus,LL-07,Complete Genome,1694,1,1,367,148.6,1,1,1,0,1,B_SP
GCF_057816445.1,Pediococcus acidilactici,MBEL10321,Complete Genome,1912,1,1,382,174.0,1,1,1,0,1,B_SP
GCF_000407125.1,Lactococcus garvieae ATCC 49156,ATCC 49156,Scaffold,1860,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_040516055.1,Pediococcus pentosaceus,PP04sPP04,Complete Genome,1821,1,1,367,147.1,1,1,1,0,1,A_TM
GCF_027693345.1,Limosilactobacillus mucosae,OF26-1b12A,Scaffold,1849,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_057587635.1,Pediococcus pentosaceus,SSF2,Complete Genome,1758,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_002138395.1,Levilactobacillus brevis,100D8,Complete Genome,2338,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_054189165.1,Bifidobacterium longum,CECT 7347,Complete Genome,1898,0,0,,,0,0,0,0,0,E_no_dlt
GCF_046531985.1,Ligilactobacillus salivarius,LZZAY01,Complete Genome,1669,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002869825.2,Limosilactobacillus fermentum,LfU21,Complete Genome,1899,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_008692985.1,Lactococcus garvieae subsp. garvieae,CCUG 32208T,Contig,1971,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_054130475.1,Bifidobacterium longum,HOM1190,Complete Genome,1896,0,0,,,0,0,0,0,0,E_no_dlt
GCF_041344845.1,Leuconostoc mesenteroides,yan,Complete Genome,2016,1,1,380,134.5,1,1,1,1,1,A_TM
GCF_047041105.1,Levilactobacillus brevis,H8,Complete Genome,2226,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_020463755.1,Lactococcus lactis,LAC460,Complete Genome,2281,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_902387355.1,Bifidobacterium animalis,-,Complete Genome,1544,0,0,,,0,0,0,0,0,E_no_dlt
GCF_050475565.1,Enterococcus faecalis,C1336,Complete Genome,2961,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_000739975.1,Lactococcus garvieae NBRC 100934,NBRC 100934,Contig,1973,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_011764605.1,Bifidobacterium longum,Jih1,Complete Genome,1851,0,0,,,0,0,0,0,0,E_no_dlt
GCF_047041145.1,Lactococcus lactis,L-WY410,Complete Genome,2414,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_031348425.1,Lacticaseibacillus paracasei,KCKM 0245,Complete Genome,2757,1,1,385,191.2,1,1,1,1,1,A_TM
GCF_057220805.1,Pediococcus acidilactici,LBP,Complete Genome,1803,1,1,382,168.3,1,1,1,0,1,B_SP
GCF_050313655.1,Limosilactobacillus mucosae,SGI.163,Contig,2112,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002220485.1,Bifidobacterium animalis,BL3,Complete Genome,1538,0,0,,,0,0,0,0,0,E_no_dlt
GCF_003288235.1,Latilactobacillus sakei,WiKim0074,Complete Genome,1929,1,1,383,176.0,1,1,1,1,1,B_SP
GCF_028994255.1,Pediococcus pentosaceus,Ca-4,Complete Genome,1887,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_033344095.1,Ligilactobacillus salivarius,C2-1,Complete Genome,1653,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_055698225.1,Bifidobacterium longum,SY517,Complete Genome,2097,0,0,,,0,0,0,0,0,E_no_dlt
GCF_964062975.1,Lactococcus lactis,-,Complete Genome,2262,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_060345555.1,Bifidobacterium longum,289,Complete Genome,1940,0,0,,,0,0,0,0,0,E_no_dlt
GCF_045063855.1,Leuconostoc mesenteroides,DMLM18,Complete Genome,1989,1,1,380,134.5,1,1,1,1,1,A_TM
GCF_029691425.1,Limosilactobacillus fermentum,MSJK0025,Complete Genome,1923,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002202155.1,Pediococcus pentosaceus,SRCM100194,Complete Genome,1745,1,1,367,148.5,1,1,1,0,1,B_SP
GCF_043950145.1,Limosilactobacillus fermentum,z-6,Complete Genome,1902,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_022699585.1,Enterococcus faecalis,NY13321,Complete Genome,2924,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_965286455.1,Levilactobacillus brevis,UH033_1,Complete Genome,2545,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_018141605.1,Bifidobacterium longum,I2-2-3,Complete Genome,2037,0,0,,,0,0,0,0,0,E_no_dlt
GCF_051027615.1,Levilactobacillus brevis,SWP-TKLB01,Complete Genome,2429,1,1,392,271.0,1,1,1,1,1,B_SP
GCF_041117985.1,Lacticaseibacillus paracasei,MYA5,Complete Genome,2885,1,1,385,190.8,1,1,1,1,1,A_TM
GCF_014884605.1,Lactococcus lactis,N8,Complete Genome,2399,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_018884205.1,Limosilactobacillus fermentum,YLF016,Complete Genome,1921,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_016415025.1,Enterococcus faecium,Dallas 97_1,Complete Genome,2806,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_002370375.1,Latilactobacillus sakei,LK-145,Complete Genome,1910,1,1,383,174.9,1,1,1,1,1,B_SP
GCF_041447105.1,Bifidobacterium animalis,20224-6,Complete Genome,1511,0,0,,,0,0,0,0,0,E_no_dlt
GCF_052932085.1,Levilactobacillus brevis,KKP3502,Complete Genome,2215,1,1,392,272.9,1,1,1,1,1,B_SP
GCF_020023755.1,Limosilactobacillus reuteri,SD-RD830-FR,Complete Genome,1838,1,0,,,0,0,0,1,0,D_dltE_absent
GCF_036755425.1,Ligilactobacillus animalis,-,Scaffold,1592,0,0,,,0,0,0,1,1,E_no_dlt
GCF_030373575.1,Limosilactobacillus mucosae,Avi24,Contig,1793,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_004102585.1,Leuconostoc mesenteroides,SRCM103356,Complete Genome,1981,1,1,380,134.6,1,1,1,1,1,A_TM
GCF_024272985.1,Latilactobacillus curvatus,ELA204029,Contig,1835,1,1,382,195.4,1,1,1,1,1,C_CYTO
GCF_052943135.1,Leuconostoc citreum,TMW 2.2591,Contig,1824,1,1,378,152.0,1,1,1,1,1,A_TM
GCF_054054545.1,Ligilactobacillus salivarius,D3-8,Complete Genome,1720,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_036281635.1,Enterococcus faecalis,JF1A-4353,Complete Genome,3005,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_044988765.1,Lactococcus garvieae,Sashimi-1688,Contig,1979,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_900639395.1,Enterococcus faecium,-,Complete Genome,2994,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_980648195.1,Leuconostoc citreum,-,Contig,1919,1,1,378,155.0,1,1,1,1,1,A_TM
GCF_003199005.1,Lacticaseibacillus paracasei,Lpc10,Complete Genome,2770,1,1,385,193.0,1,1,1,1,1,A_TM
GCF_022350025.1,Levilactobacillus brevis,YSJ3,Complete Genome,2410,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_006874665.1,Limosilactobacillus reuteri,YSJL-12,Complete Genome,1987,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_022670815.1,Lactococcus lactis,AH1,Complete Genome,2472,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_982553915.1,Latilactobacillus sakei,-,Complete Genome,1889,1,1,383,174.2,1,1,1,1,1,B_SP
GCF_000407645.1,Lactococcus garvieae ATCC 49156,ATCC 49156,Contig,1862,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_034704615.1,Pediococcus acidilactici,IAF5919,Complete Genome,1854,1,1,382,174.0,1,1,1,0,1,B_SP
GCF_040790875.1,Pediococcus pentosaceus,RS-1,Complete Genome,1683,1,1,374,158.5,1,1,1,0,1,B_SP
GCF_016127135.1,Lactococcus lactis,FDAARGOS_1064,Complete Genome,2360,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_024272755.1,Latilactobacillus curvatus,ELA204098,Contig,1828,1,1,382,195.4,1,1,1,1,1,C_CYTO
GCF_000817045.1,Bifidobacterium animalis,A6,Complete Genome,1544,0,0,,,0,0,0,0,0,E_no_dlt
GCF_060346195.1,Bifidobacterium longum,272,Complete Genome,1893,0,0,,,0,0,0,0,0,E_no_dlt
GCF_003429405.1,Pediococcus pentosaceus,SS1-3,Complete Genome,1726,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_044988625.1,Lactococcus garvieae,Sashimi-1038,Contig,2153,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_027697925.1,Limosilactobacillus mucosae,AM96-01DM3TA-r,Scaffold,2055,0,0,,,0,0,0,1,1,E_no_dlt
GCF_016617695.1,Limosilactobacillus fermentum,B44,Complete Genome,1888,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_964186905.1,Leuconostoc citreum,-,Contig,1748,1,1,378,154.5,1,1,1,1,1,A_TM
GCF_004103635.1,Pediococcus acidilactici,SRCM103444,Complete Genome,1796,1,1,382,169.2,1,1,1,0,1,B_SP
GCF_024397675.1,Ligilactobacillus salivarius,SNK-6,Complete Genome,1740,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_050110905.1,Pediococcus acidilactici,SWP-CGPA01,Complete Genome,1779,1,1,382,169.9,1,1,1,0,1,B_SP
GCF_002242615.1,Limosilactobacillus fermentum,SK152,Complete Genome,1944,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_015377505.1,Bifidobacterium animalis,TK-J6A,Complete Genome,1538,0,0,,,0,0,0,0,0,E_no_dlt
GCF_024800105.1,Leuconostoc mesenteroides,PL03,Complete Genome,1984,1,1,380,134.3,1,1,1,1,1,A_TM
GCF_008041995.1,Bifidobacterium animalis,B06,Complete Genome,1535,0,0,,,0,0,0,0,0,E_no_dlt
GCF_051294845.1,Levilactobacillus brevis,DPL5,Complete Genome,2287,1,1,392,270.1,1,1,1,1,1,B_SP
GCF_030371305.1,Limosilactobacillus mucosae,Avi25,Contig,1873,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_040371495.1,Enterococcus faecalis,EF01,Complete Genome,2995,1,1,388,178.7,1,1,1,1,0,A_TM
GCF_028402065.1,Limosilactobacillus mucosae,F146,Contig,2068,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_058173425.1,Leuconostoc mesenteroides,B12-B2,Complete Genome,1894,1,1,380,134.6,1,1,1,1,1,A_TM
GCF_013487885.1,Ligilactobacillus salivarius,2D,Complete Genome,1840,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_025215665.1,Lacticaseibacillus paracasei,ALAC-4,Complete Genome,2783,1,1,385,190.6,1,1,1,1,1,A_TM
GCF_000008925.1,Ligilactobacillus salivarius UCC118,UCC118,Complete Genome,2002,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_050425945.1,Enterococcus faecalis,Efa-W12,Complete Genome,2830,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_053154025.1,Enterococcus faecium,Ch-Efm2,Complete Genome,2631,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_049913355.1,Latilactobacillus sakei,TCI147,Complete Genome,1865,1,1,383,176.0,1,1,1,1,1,B_SP
GCF_023218865.1,Leuconostoc citreum,TMW 2.2455,Contig,1991,1,1,378,153.1,1,1,1,1,1,A_TM
GCF_056725945.1,Lacticaseibacillus paracasei,D11,Complete Genome,2776,1,1,401,198.9,1,1,1,1,1,A_TM
GCF_030585585.1,Limosilactobacillus reuteri,NL02,Complete Genome,1873,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_034090685.1,Ligilactobacillus animalis,-,Contig,2122,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_021228035.1,Bifidobacterium longum,VHProbi Y08,Complete Genome,1894,0,0,,,0,0,0,0,0,E_no_dlt
GCF_023734355.1,Latilactobacillus sakei,TMW 1.578,Complete Genome,1847,1,1,383,175.0,1,1,1,1,1,B_SP
GCF_054491145.1,Latilactobacillus curvatus,L6-9,Scaffold,1978,1,1,382,199.6,1,1,1,1,1,C_CYTO
GCF_052943255.1,Leuconostoc citreum,TMW 2.2367,Contig,1902,1,1,378,153.1,1,1,1,1,1,A_TM
GCF_038665115.1,Enterococcus faecium,EF9953,Complete Genome,2818,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_000761115.1,Lactococcus lactis,AI06,Complete Genome,2234,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_044988645.1,Lactococcus garvieae,Sashimi-1093,Contig,1951,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_034259105.1,Limosilactobacillus reuteri,IMAUJBR3,Complete Genome,1911,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_016864255.1,Enterococcus faecium,WGS1811-4-7,Complete Genome,2887,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_016028695.1,Pediococcus pentosaceus,FDAARGOS_873,Complete Genome,1673,1,1,367,152.2,1,1,1,0,1,B_SP
GCF_048629775.1,Pediococcus acidilactici,TL3,Complete Genome,1790,1,1,382,168.3,1,1,1,0,1,B_SP
GCF_013694365.1,Limosilactobacillus reuteri,CNEI-KCA3,Complete Genome,2196,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_052409125.1,Bifidobacterium longum,MCGI11,Complete Genome,1824,0,0,,,0,0,0,0,0,E_no_dlt
GCF_024273015.1,Latilactobacillus curvatus,ELA214002,Contig,1836,1,1,382,195.4,1,1,1,1,1,C_CYTO
GCF_011770105.1,Bifidobacterium animalis,Probio-M8,Complete Genome,1537,0,0,,,0,0,0,0,0,E_no_dlt
GCF_057376805.1,Latilactobacillus curvatus,UNCP-T6M03,Contig,1917,1,1,382,198.1,1,1,1,1,1,C_CYTO
GCF_900205745.1,Limosilactobacillus fermentum,IMDO 130101,Complete Genome,1877,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_056838005.1,Lactococcus garvieae,942,Contig,1835,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_051157655.1,Limosilactobacillus mucosae,BE090929-6-25,Contig,1742,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_055284835.1,Pediococcus acidilactici,LP05,Complete Genome,1780,1,1,382,168.3,1,1,1,0,1,B_SP
GCF_965286465.1,Levilactobacillus brevis,UH013_6,Complete Genome,2245,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_000143435.1,Ligilactobacillus salivarius CECT 5713,CECT 5713,Complete Genome,1956,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_016027975.1,Lactococcus lactis,FDAARGOS_887,Complete Genome,2433,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_023704215.1,Bifidobacterium animalis,HY8002,Complete Genome,1534,0,0,,,0,0,0,0,0,E_no_dlt
GCF_030369975.1,Leuconostoc mesenteroides,SRCM217106,Complete Genome,1935,1,1,380,134.6,1,1,1,1,1,A_TM
GCF_052943115.1,Leuconostoc citreum,TMW 2.2593,Contig,1787,1,1,378,154.0,1,1,1,1,1,A_TM
GCF_002982155.1,Pediococcus pentosaceus,KCCM 40703,Complete Genome,1680,1,1,367,152.2,1,1,1,0,1,B_SP
GCF_051157935.1,Limosilactobacillus mucosae,BE090929-5-45,Contig,1749,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_029866805.1,Enterococcus faecalis,NY13412,Complete Genome,2830,1,1,388,179.7,1,1,1,1,0,A_TM
GCF_005886715.1,Enterococcus faecium,UAMSEF_09,Complete Genome,2917,1,1,386,130.7,1,1,1,1,0,A_TM
GCF_004936435.1,Bifidobacterium longum,51A,Complete Genome,1880,0,0,,,0,0,0,0,0,E_no_dlt
GCF_001011095.1,Ligilactobacillus salivarius str. Ren,Ren,Complete Genome,1817,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_000194785.1,Lacticaseibacillus paracasei,LC2W,Complete Genome,2817,1,1,385,192.1,1,1,1,1,1,A_TM
GCF_965286585.1,Limosilactobacillus fermentum,HF-IBB-205,Complete Genome,1940,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_035928175.1,Limosilactobacillus reuteri,VHProbi V43,Complete Genome,1903,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002115685.1,Leuconostoc citreum,DmW_111,Contig,1793,1,1,378,152.9,1,1,1,1,1,A_TM
GCF_982553895.1,Latilactobacillus sakei,-,Complete Genome,1967,1,1,383,174.8,1,1,1,1,1,B_SP
GCF_051048205.1,Levilactobacillus brevis,KU15176,Complete Genome,2304,1,1,392,273.5,1,1,1,1,1,B_SP
GCF_023744395.1,Latilactobacillus curvatus,DRD-171,Scaffold,2086,1,1,379,196.2,1,1,1,1,1,C_CYTO
GCF_016406545.1,Enterococcus faecium,Dallas 53_2,Complete Genome,2782,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_014334715.1,Lactococcus lactis,K_LL005,Complete Genome,2179,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_054962195.1,Leuconostoc mesenteroides,AP7,Complete Genome,1944,1,1,380,134.7,1,1,1,1,1,A_TM
GCF_044988825.1,Lactococcus garvieae,Fecal-929,Contig,2086,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_023277765.1,Pediococcus pentosaceus,MGB0055,Complete Genome,1686,1,1,367,148.5,1,1,1,0,1,B_SP
GCF_013348825.1,Limosilactobacillus reuteri,AN417,Complete Genome,1934,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_003345275.1,Enterococcus faecalis,TY1,Complete Genome,3001,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_053852175.1,Pediococcus acidilactici,HP-B1099,Complete Genome,1779,1,1,382,169.9,1,1,1,0,1,B_SP
GCF_046603915.1,Bifidobacterium longum,SFAD19,Complete Genome,1865,0,0,,,0,0,0,0,0,E_no_dlt
GCF_057379195.1,Latilactobacillus curvatus,UNCP-C6M10,Contig,1923,1,1,382,198.1,1,1,1,1,1,C_CYTO
GCF_016406365.1,Enterococcus faecium,Dallas 53_1,Complete Genome,2782,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_004135895.1,Bifidobacterium animalis,01,Complete Genome,1530,0,0,,,0,0,0,0,0,E_no_dlt
GCF_024494505.1,Limosilactobacillus fermentum,PMC101,Complete Genome,1923,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_027672185.1,Lactococcus garvieae,AM17-43,Scaffold,1902,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_001688685.2,Limosilactobacillus reuteri,I49,Complete Genome,1807,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_900103925.1,Limosilactobacillus mucosae,WCC8,Contig,1755,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_045689685.1,Levilactobacillus brevis,A156,Complete Genome,2239,1,1,392,271.4,1,1,1,1,1,B_SP
GCF_029581755.1,Latilactobacillus curvatus,TMW 1.591,Contig,1743,1,1,382,197.3,1,1,1,1,1,C_CYTO
GCF_048630145.1,Pediococcus acidilactici,HI5,Complete Genome,1792,1,1,382,168.3,1,1,1,0,1,B_SP
GCF_002735985.1,Ligilactobacillus salivarius,BCRC 12574,Chromosome,1939,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_982267115.1,Leuconostoc mesenteroides,-,Complete Genome,2058,1,1,380,134.6,1,1,1,1,1,A_TM
GCF_057554825.1,Lactococcus garvieae,LC2323,Contig,1844,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_036227545.1,Bifidobacterium animalis,B01,Complete Genome,1530,0,0,,,0,0,0,0,0,E_no_dlt
GCF_027676085.1,Leuconostoc citreum,UN03-210,Scaffold,1762,1,1,378,152.9,1,1,1,1,1,A_TM
GCF_050427495.1,Enterococcus faecalis,Efa-W3,Complete Genome,2831,1,1,388,180.2,1,1,1,1,0,A_TM
GCF_965286485.1,Pediococcus acidilactici,15M9,Complete Genome,1850,1,1,382,174.0,1,1,1,0,1,B_SP
GCF_046940055.1,Limosilactobacillus mucosae,174A,Contig,1837,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_048282615.1,Lacticaseibacillus paracasei,439,Complete Genome,2802,1,1,385,191.5,1,1,1,1,1,A_TM
GCF_037414395.1,Lacticaseibacillus paracasei,CUDS0725,Complete Genome,2781,1,1,385,192.1,1,1,1,1,1,A_TM
GCF_001688645.2,Bifidobacterium animalis subsp. animalis,YL2,Complete Genome,1593,0,0,,,0,0,0,0,0,E_no_dlt
GCF_002736025.1,Ligilactobacillus salivarius,BCRC 14759,Chromosome,1917,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_002224565.1,Latilactobacillus sakei,FAM18311,Complete Genome,1932,1,1,383,174.8,1,1,1,1,1,B_SP
GCF_000695895.1,Bifidobacterium animalis,RH,Complete Genome,1536,0,0,,,0,0,0,0,0,E_no_dlt
GCF_051153815.1,Limosilactobacillus mucosae,BE1101-7-14,Contig,1833,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_925293145.1,Leuconostoc citreum,-,Contig,1905,1,1,378,152.3,1,1,1,1,1,A_TM
GCF_050822385.1,Lactococcus lactis,lxl,Complete Genome,2246,1,0,,,0,0,0,0,0,D_dltE_absent
GCF_980643355.1,Leuconostoc citreum,-,Contig,1811,1,1,378,154.0,1,1,1,1,1,A_TM
GCF_050516325.1,Leuconostoc mesenteroides,B22051,Complete Genome,1935,1,1,380,134.6,1,1,1,1,1,A_TM
GCF_003020765.1,Enterococcus faecium,AUSMDU00004142,Complete Genome,2802,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_009913955.1,Pediococcus pentosaceus,SRCM102736,Complete Genome,1722,1,1,367,145.6,1,1,1,0,1,A_TM
GCF_002025065.1,Enterococcus faecium,-,Complete Genome,2875,1,1,389,149.6,1,1,1,1,0,A_TM
GCF_022212965.1,Enterococcus faecalis,101-1,Complete Genome,2891,1,1,388,178.7,1,1,1,1,0,A_TM
GCF_054404865.1,Limosilactobacillus reuteri,MKLQ3807-13,Complete Genome,1877,1,0,,,0,0,0,1,1,D_dltE_absent
GCF_018141585.1,Bifidobacterium longum,K2-21-4,Complete Genome,2027,0,0,,,0,0,0,0,0,E_no_dlt
GCF_004208615.1,Limosilactobacillus reuteri,ATG-F4,Complete Genome,1899,1,0,,,0,0,0,1,1,D_dltE_absent
